      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 1.18250E+01   2.54075E+13   7.42445E-04   4.24598E-06   7.27506E-12   2.92215E-17
 1.18750E+01   1.84419E+13   5.69893E-04   3.08616E-06   5.29247E-12   3.09022E-17
 1.19250E+01   1.33484E+13   4.36145E-04   2.23656E-06   3.83886E-12   3.26741E-17
 1.19750E+01   9.63514E+12   3.32797E-04   1.61608E-06   2.77632E-12   3.45399E-17
 1.20250E+01   6.93642E+12   2.53184E-04   1.16432E-06   2.00199E-12   3.65007E-17
 1.20750E+01   4.98105E+12   1.92045E-04   8.36380E-07   1.43939E-12   3.85552E-17
 1.21250E+01   3.56862E+12   1.45239E-04   5.99047E-07   1.03186E-12   4.06989E-17
 1.21750E+01   2.55098E+12   1.09515E-04   4.27803E-07   7.37548E-13   4.29306E-17
 1.22250E+01   1.81809E+12   8.23331E-05   3.04617E-07   5.25638E-13   4.52856E-17
 1.22750E+01   1.29005E+12   6.17147E-05   2.16267E-07   3.73518E-13   4.78390E-17
 1.23250E+01   9.07554E+11   4.61228E-05   1.53093E-07   2.64646E-13   5.08210E-17
 1.23750E+01   5.91587E+11   3.43681E-05   1.08057E-07   1.86960E-13   5.80947E-17
 1.24250E+01   2.16120E+11   2.55334E-05   7.60459E-08   1.31693E-13   1.18144E-16
 1.24750E+01   1.16693E+10   1.89136E-05   5.33618E-08   9.24929E-14   1.62080E-15
 1.25250E+01   0.00000E+00   1.39687E-05   3.73350E-08   6.47717E-14      Infinity
 1.25750E+01   1.31703E-02   1.02861E-05   2.60456E-08   4.52267E-14   7.81006E-04
 1.26250E+01   1.85058E-02   7.55193E-06   1.81170E-08   3.14875E-14   4.08085E-04
 1.26750E+01   2.12066E-02   5.52817E-06   1.25652E-08   2.18582E-14   2.60682E-04
 1.27250E+01   2.16855E-02   4.03478E-06   8.68933E-09   1.51295E-14   1.86058E-04
 1.27750E+01   2.06101E-02   2.93611E-06   5.99153E-09   1.04417E-14   1.42460E-04
 1.28250E+01   1.85800E-02   2.13030E-06   4.11931E-09   7.18539E-15   1.14655E-04
 1.28750E+01   1.60773E-02   1.54107E-06   2.82388E-09   4.93023E-15   9.58537E-05
 1.29250E+01   1.34576E-02   1.11153E-06   1.93021E-09   3.37303E-15   8.25949E-05
 1.29750E+01   1.09577E-02   7.99345E-07   1.31552E-09   2.30097E-15   7.29480E-05
 1.30250E+01   8.71561E-03   5.73143E-07   8.93984E-10   1.56508E-15   6.57604E-05
 1.30750E+01   6.79409E-03   4.09738E-07   6.05757E-10   1.06146E-15   6.03080E-05
 1.31250E+01   5.20441E-03   2.92055E-07   4.09265E-10   7.17804E-16   5.61169E-05
 1.31750E+01   3.92602E-03   2.07558E-07   2.75708E-10   4.84003E-16   5.28672E-05
 1.32250E+01   2.92173E-03   1.47071E-07   1.85196E-10   3.25408E-16   5.03370E-05
 1.32750E+01   2.14817E-03   1.03904E-07   1.24038E-10   2.18147E-16   4.83686E-05
 1.33250E+01   1.56232E-03   7.31899E-08   8.28354E-11   1.45817E-16   4.68468E-05
 1.33750E+01   1.12515E-03   5.14025E-08   5.51591E-11   9.71872E-17   4.56850E-05
 1.34250E+01   8.03174E-04   3.59943E-08   3.66234E-11   6.45876E-17   4.48150E-05
 1.34750E+01   5.68814E-04   2.51302E-08   2.42460E-11   4.27987E-17   4.41800E-05
 1.35250E+01   4.00034E-04   1.74934E-08   1.60052E-11   2.82782E-17   4.37298E-05
