      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 1.20250E+01   4.21863E+17   2.61296E+09   2.35570E+02   2.99289E-02   2.57182E-08
 1.20750E+01   4.18478E+17   2.59499E+09   2.34672E+02   2.99500E-02   2.57935E-08
 1.21250E+01   4.15649E+17   2.59484E+09   2.33976E+02   2.99779E-02   2.58599E-08
 1.21750E+01   4.13390E+17   2.59468E+09   2.33483E+02   3.00123E-02   2.59168E-08
 1.22250E+01   4.11709E+17   2.60959E+09   2.33195E+02   3.00529E-02   2.59637E-08
 1.22750E+01   4.10613E+17   2.70089E+09   2.33109E+02   3.00994E-02   2.60002E-08
 1.23250E+01   4.10101E+17   2.85487E+09   2.33225E+02   3.01511E-02   2.60259E-08
 1.23750E+01   4.10169E+17   3.05481E+09   2.33537E+02   3.02078E-02   2.60408E-08
 1.24250E+01   4.10808E+17   3.28929E+09   2.34040E+02   3.02689E-02   2.60448E-08
 1.24750E+01   4.12007E+17   3.55071E+09   2.34728E+02   3.03339E-02   2.60381E-08
 1.25250E+01   4.13749E+17   3.83498E+09   2.35593E+02   3.04022E-02   2.60210E-08
 1.25750E+01   4.16014E+17   4.14097E+09   2.36626E+02   3.04733E-02   2.59939E-08
 1.26250E+01   4.18780E+17   4.46995E+09   2.37817E+02   3.05467E-02   2.59574E-08
 1.26750E+01   4.22019E+17   4.82487E+09   2.39154E+02   3.06217E-02   2.59120E-08
 1.27250E+01   4.25701E+17   5.20988E+09   2.40626E+02   3.06979E-02   2.58585E-08
 1.27750E+01   4.29796E+17   5.62979E+09   2.42219E+02   3.07745E-02   2.57975E-08
 1.28250E+01   4.34267E+17   6.08969E+09   2.43920E+02   3.08511E-02   2.57300E-08
 1.28750E+01   4.39078E+17   6.59465E+09   2.45716E+02   3.09271E-02   2.56567E-08
 1.29250E+01   4.44191E+17   7.14954E+09   2.47591E+02   3.10020E-02   2.55785E-08
 1.29750E+01   4.49565E+17   7.75888E+09   2.49532E+02   3.10752E-02   2.54962E-08
 1.30250E+01   4.55160E+17   8.42664E+09   2.51522E+02   3.11463E-02   2.54106E-08
 1.30750E+01   4.60932E+17   9.15613E+09   2.53548E+02   3.12148E-02   2.53227E-08
 1.31250E+01   4.66840E+17   9.94965E+09   2.55594E+02   3.12802E-02   2.52330E-08
 1.31750E+01   4.72840E+17   1.08081E+10   2.57645E+02   3.13423E-02   2.51424E-08
 1.32250E+01   4.78890E+17   1.17303E+10   2.59686E+02   3.14004E-02   2.50516E-08
 1.32750E+01   4.84946E+17   1.27127E+10   2.61703E+02   3.14545E-02   2.49611E-08
 1.33250E+01   4.90967E+17   1.37484E+10   2.63683E+02   3.15040E-02   2.48717E-08
 1.33750E+01   4.96913E+17   1.48268E+10   2.65612E+02   3.15489E-02   2.47839E-08
 1.34250E+01   5.02743E+17   1.59332E+10   2.67477E+02   3.15887E-02   2.46981E-08
 1.34750E+01   5.08420E+17   1.70490E+10   2.69266E+02   3.16235E-02   2.46148E-08
 1.35250E+01   5.13908E+17   1.81521E+10   2.70968E+02   3.16530E-02   2.45345E-08
 1.35750E+01   5.19172E+17   1.92183E+10   2.72573E+02   3.16772E-02   2.44576E-08
 1.36250E+01   5.24181E+17   2.02223E+10   2.74071E+02   3.16959E-02   2.43842E-08
 1.36750E+01   5.28904E+17   2.11401E+10   2.75453E+02   3.17092E-02   2.43148E-08
 1.37250E+01   5.33314E+17   2.19505E+10   2.76713E+02   3.17171E-02   2.42496E-08
 1.37750E+01   5.37389E+17   2.26369E+10   2.77844E+02   3.17196E-02   2.41888E-08
 1.38250E+01   5.41106E+17   2.31883E+10   2.78840E+02   3.17170E-02   2.41326E-08
 1.38750E+01   5.44446E+17   2.35998E+10   2.79697E+02   3.17092E-02   2.40812E-08
 1.39250E+01   5.47395E+17   2.38725E+10   2.80412E+02   3.16966E-02   2.40347E-08
 1.39750E+01   5.49941E+17   2.40171E+10   2.80982E+02   3.16792E-02   2.39932E-08
 1.40250E+01   5.52075E+17   2.40385E+10   2.81408E+02   3.16573E-02   2.39567E-08
 1.40750E+01   5.53791E+17   2.40358E+10   2.81688E+02   3.16313E-02   2.39254E-08
 1.41250E+01   5.55086E+17   2.40330E+10   2.81824E+02   3.16013E-02   2.38992E-08
 1.41750E+01   5.55961E+17   2.39119E+10   2.81819E+02   3.15678E-02   2.38782E-08
 1.42250E+01   5.56421E+17   2.34802E+10   2.81676E+02   3.15310E-02   2.38623E-08
 1.42750E+01   5.56472E+17   2.28258E+10   2.81398E+02   3.14912E-02   2.38516E-08
 1.43250E+01   5.56123E+17   2.20068E+10   2.80991E+02   3.14490E-02   2.38459E-08
 1.43750E+01   5.55388E+17   2.10694E+10   2.80461E+02   3.14045E-02   2.38452E-08
 1.44250E+01   5.54281E+17   2.00500E+10   2.79815E+02   3.13583E-02   2.38493E-08
 1.44750E+01   5.52821E+17   1.89756E+10   2.79059E+02   3.13108E-02   2.38582E-08
 1.45250E+01   5.51028E+17   1.78662E+10   2.78204E+02   3.12622E-02   2.38717E-08
 1.45750E+01   5.48923E+17   1.67373E+10   2.77256E+02   3.12131E-02   2.38896E-08
 1.46250E+01   5.46533E+17   1.56011E+10   2.76227E+02   3.11637E-02   2.39118E-08
 1.46750E+01   5.43882E+17   1.44685E+10   2.75125E+02   3.11146E-02   2.39380E-08
 1.47250E+01   5.40998E+17   1.33494E+10   2.73960E+02   3.10660E-02   2.39680E-08
 1.47750E+01   5.37910E+17   1.22531E+10   2.72744E+02   3.10184E-02   2.40015E-08
