      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 5.17500E+00   8.54325E-06  -7.58194E-11   4.10891E-17  -7.14959E-20  -8.87477E-06
 5.22500E+00   3.93897E-06  -3.41430E-11   1.84133E-17  -3.18854E-20  -8.66799E-06
 5.27500E+00   1.75220E-06  -1.48468E-11   7.96399E-18  -1.37184E-20  -8.47319E-06
 5.32500E+00   7.49894E-07  -6.21624E-12   3.31493E-18  -5.67751E-21  -8.28950E-06
 5.37500E+00   3.07847E-07  -2.49849E-12   1.32385E-18  -2.25330E-21  -8.11602E-06
 5.42500E+00   1.20854E-07  -9.61013E-13   5.05670E-19  -8.54906E-22  -7.95185E-06
 5.47500E+00   4.52331E-08  -3.52643E-13   1.84163E-19  -3.09099E-22  -7.79613E-06
 5.52500E+00   1.60942E-08  -1.23088E-13   6.37623E-20  -1.06186E-22  -7.64797E-06
 5.57500E+00   5.42986E-09  -4.07594E-14   2.09318E-20  -3.45687E-23  -7.50652E-06
 5.62500E+00   1.73349E-09  -1.27775E-14   6.50146E-21  -1.06422E-23  -7.37092E-06
 5.67500E+00   5.22971E-10  -3.78651E-15   1.90791E-21  -3.09389E-24  -7.24037E-06
 5.72500E+00   1.49014E-10  -1.06010E-15   5.28688E-22  -8.48914E-25  -7.11408E-06
 5.77500E+00   4.01191E-11  -2.80485E-16   1.38386E-22  -2.19930E-25  -6.99131E-06
 5.82500E+00   1.02200E-11  -7.02250E-17   3.42625E-23  -5.38723E-26  -6.87136E-06
 5.87500E+00   2.46896E-12  -1.66743E-17   8.04180E-24  -1.25054E-26  -6.75356E-06
 5.92500E+00   5.67392E-13  -3.76596E-18   1.79478E-24  -2.75942E-27  -6.63731E-06
 5.97500E+00   1.24496E-13  -8.11968E-19   3.82268E-25  -5.80916E-28  -6.52204E-06
 6.02500E+00   2.61882E-14  -1.67795E-19   7.80151E-26  -1.17152E-28  -6.40725E-06
 6.07500E+00   5.30401E-15  -3.33753E-20   1.53208E-26  -2.27287E-29  -6.29247E-06
 6.12500E+00   1.03879E-15  -6.41687E-21   2.90753E-27  -4.26035E-30  -6.17725E-06
 6.17500E+00   1.97562E-16  -1.19747E-21   5.35433E-28  -7.74744E-31  -6.06122E-06
 6.22500E+00   3.66322E-17  -2.17742E-22   9.60539E-29  -1.37217E-31  -5.94400E-06
 6.27500E+00   6.64669E-18  -3.87188E-23   1.68468E-29  -2.37547E-32  -5.82527E-06
 6.32500E+00   1.18409E-18  -6.75491E-24   2.89820E-30  -4.03226E-33  -5.70471E-06
 6.37500E+00   2.07734E-19  -1.15958E-24   4.90462E-31  -6.72672E-34  -5.58203E-06
 6.42500E+00   3.59855E-20  -1.96371E-25   8.18566E-32  -1.10183E-34  -5.45695E-06
 6.47500E+00   6.16966E-21  -3.28792E-26   1.35028E-32  -1.73700E-35  -5.32918E-06
 6.52500E+00   1.04905E-21  -5.45343E-27   2.20519E-33  -2.10138E-36  -5.19845E-06
 6.57500E+00   1.77218E-22  -8.97514E-28   3.56605E-34   0.00000E+00  -5.06447E-06
 6.62500E+00   2.97901E-23  -1.46774E-28   5.66707E-35   0.00000E+00  -4.92694E-06
 6.67500E+00   4.98980E-24  -2.38788E-29   8.50330E-36   0.00000E+00  -4.78552E-06
 6.72500E+00   8.33813E-25  -3.86876E-30   6.64668E-37   0.00000E+00  -4.63984E-06
 6.77500E+00   1.39157E-25  -6.24739E-31   0.00000E+00   0.00000E+00  -4.48945E-06
 6.82500E+00   2.32184E-26  -1.00624E-31   0.00000E+00   0.00000E+00  -4.33382E-06
 6.87500E+00   3.87682E-27  -1.61747E-32   0.00000E+00   0.00000E+00  -4.17216E-06
 6.92500E+00   6.48424E-28  -2.59567E-33   0.00000E+00   0.00000E+00  -4.00304E-06
 6.97500E+00   1.08751E-28  -4.15626E-34   0.00000E+00   0.00000E+00  -3.82180E-06
 7.02500E+00   1.83109E-29  -6.60542E-35   0.00000E+00   0.00000E+00  -3.60738E-06
 7.07500E+00   3.09939E-30  -1.01187E-35   0.00000E+00   0.00000E+00  -3.26474E-06
 7.12500E+00   5.28283E-31  -7.32362E-37   0.00000E+00   0.00000E+00  -1.38631E-06
 7.17500E+00   9.08643E-32   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 7.22500E+00   1.58122E-32   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 7.27500E+00   2.79254E-33   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 7.32500E+00   5.01835E-34   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 7.37500E+00   9.15823E-35   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 7.42500E+00   1.64702E-35   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 7.47500E+00   2.19259E-36   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 7.52500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 7.57500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 7.62500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 7.67500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 7.72500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 7.77500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 7.82500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 7.87500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 7.92500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 7.97500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.02500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.07500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.12500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.17500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.22500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.27500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.32500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.37500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.42500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.47500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.52500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.57500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.62500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.67500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.72500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.77500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.82500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.87500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.92500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 8.97500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.02500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.07500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.12500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.17500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.22500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.27500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.32500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.37500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.42500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.47500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.52500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.57500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.62500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.67500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.72500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.77500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.82500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.87500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.92500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 9.97500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.00250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.00750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.01250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.01750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.02250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.02750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.03250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.03750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.04250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.04750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.05250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.05750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.06250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.06750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.07250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.07750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.08250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.08750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.09250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.09750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.10250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.10750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.11250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.11750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.12250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.12750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.13250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.13750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.14250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.14750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.15250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.15750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.16250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.16750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.17250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.17750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.18250E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.18750E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
